year_month,year,month,Total,Brazil,Vietnam,Colombia,Uganda,Ethiopia,Central America,Indonesia,Others
2021-01,2021,1,10009.142000000002,1672.41,3615.786,1244.694,1213.212,654.2,47.923,927.995,632.922
2021-02,2021,2,8765.573999999999,1193.097,5367.004,688.762,465.61,517.128,87.971,166.504,279.498
2021-03,2021,3,8651.888,1705.422,3044.312,1118.735,166.51000000000002,612.173,1482.43,277.777,244.529
2021-04,2021,4,8212.738,1667.682,2635.921,1116.984,421.36,616.663,1302.298,156.581,295.249
2021-05,2021,5,8593.029,1910.524,2584.694,762.975,155.293,1293.788,1465.547,246.144,174.064
2021-06,2021,6,10230.714,1764.297,3256.675,741.277,251.281,1530.53,2101.761,172.452,412.44100000000003
2021-07,2021,7,8071.186999999999,2073.067,1934.008,141.341,135.064,1308.807,2167.863,201.454,109.583
2021-08,2021,8,10026.756,1435.559,2169.841,1427.185,96.007,2159.556,2015.525,260.539,462.54400000000004
2021-09,2021,9,10960.810999999998,1780.761,2866.172,1051.343,291.492,1808.629,2350.7439999999997,140.219,671.451
2021-10,2021,10,8060.967,1710.915,2512.609,902.461,57.605,1049.058,1479.536,137.529,211.254
2021-11,2021,11,9328.807,1089.233,1274.591,1090.3980000000001,233.703,829.701,2527.507,2084.342,199.332
2021-12,2021,12,5560.879000000001,1493.41,1096.882,604.3829999999999,424.226,773.392,811.9620000000001,105.896,250.728
2022-01,2022,1,4007.929,518.432,1257.786,296.32,19.386,1249.429,77.357,286.71,302.509
2022-02,2022,2,2059.702,276.614,415.086,370.757,19.21,519.565,37.326,107.04,314.104
2022-03,2022,3,8108.0,902.722,2765.571,385.784,76.811,921.158,38.272999999999996,2925.993,91.688
2022-04,2022,4,7039.11,1449.85,3065.447,641.668,268.811,533.322,15.834999999999999,376.338,687.839
2022-05,2022,5,8838.233,1827.075,3257.431,532.998,290.528,2134.916,0.047,629.259,165.979
2022-06,2022,6,7771.071999999999,1732.313,2209.434,817.691,211.223,1052.96,289.2699999999999,1319.557,138.624
2022-07,2022,7,11775.404,2030.168,1933.905,1057.224,192.619,3440.049,1590.919,1220.468,310.052
2022-08,2022,8,13405.479000000001,2180.357,700.187,1366.547,607.815,6217.026,1549.669,458.397,325.481
2022-09,2022,9,13501.824999999999,1700.929,2170.716,2437.176,702.828,4806.391,1221.063,133.722,329.0
2022-10,2022,10,12048.824,3067.857,1237.158,1433.039,499.218,3095.357,298.127,1759.797,658.271
2022-11,2022,11,9972.528,2035.596,2709.508,1427.465,363.608,1892.534,293.96799999999996,178.886,1070.963
2022-12,2022,12,9733.108999999999,2128.617,1425.383,869.612,293.235,4106.292,184.394,258.792,466.784
2023-01,2023,1,7236.804,1906.461,1009.21,560.177,19.221,2894.688,62.638,320.782,463.62699999999995
2023-02,2023,2,5476.397999999999,2356.14,454.152,1118.0539999999999,0.005,879.754,64.598,266.687,337.00800000000004
2023-03,2023,3,7222.844000000001,3170.196,1482.546,1054.345,212.012,688.795,58.236,221.828,334.88599999999997
2023-04,2023,4,7237.9529999999995,2942.382,1648.632,947.186,76.808,519.949,588.855,104.476,409.665
2023-05,2023,5,10433.247,3548.253,3114.91,874.5590000000001,249.61,1529.085,500.96,343.247,272.623
2023-06,2023,6,7310.397999999999,2762.736,685.911,1104.624,230.412,1211.249,703.8709999999999,141.99,469.605
2023-07,2023,7,16135.822000000004,5800.815,3809.795,1229.047,230.405,2789.539,278.379,1715.93,281.91200000000003
2023-08,2023,8,9227.61,2958.0,211.199,1227.793,424.205,2676.34,930.7230000000001,443.734,355.616
2023-09,2023,9,15904.182999999999,8631.344,695.552,1763.586,657.968,1897.366,387.421,1173.135,697.811
2023-10,2023,10,15343.229,5717.557,19.377,4228.155,420.259,2690.081,428.591,1513.245,325.96400000000006
2023-11,2023,11,18274.693000000003,10261.342,495.817,2961.38,608.533,2330.679,252.524,776.038,588.38
2023-12,2023,12,20142.121000000003,9537.171,434.464,4294.476,259.407,2222.313,241.04100000000003,2239.759,913.49
2024-01,2024,1,37143.327999999994,23522.627,2505.71,7922.058,272.055,1826.533,77.43299999999999,517.719,499.19300000000004
2024-02,2024,2,21365.579999999998,11358.35,2207.481,5501.915,213.607,681.215,76.565,192.983,1133.464
2024-03,2024,3,21461.408,9008.961,1882.163,6669.295,354.233,769.8009999999999,1150.625,260.281,1366.049
2024-04,2024,4,11866.806999999999,3799.748,1459.997,3566.229,696.016,754.079,731.439,168.141,691.158
2024-05,2024,5,13501.745000000003,4263.684,1452.276,3520.409,705.252,1467.834,479.14300000000003,467.485,1145.662
2024-06,2024,6,10462.276,3517.207,1796.071,2153.618,418.148,983.064,341.923,685.445,566.8
2024-07,2024,7,12361.019999999997,3750.891,2385.958,2044.597,549.041,2048.685,780.819,494.221,306.808
2024-08,2024,8,12795.372000000001,2656.073,3480.235,2172.319,355.867,2700.1749999999997,513.906,417.59099999999995,499.206
2024-09,2024,9,9585.934000000001,4142.533,2124.047,1212.84,464.598,692.254,77.39800000000001,338.447,533.817
